0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,378,0
316,0,338,365,323,388,0,421,403,0,337,315,330,380,0,334,329,359,403,0,0,382
0,345,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,343,0,0
0,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,376,0
309,0,312,346,310,392,0,404,400,0,332,297,310,384,0,313,307,335,404,0,0,362
318,0,316,345,314,407,0,391,405,0,350,313,320,396,0,328,321,330,405,0,0,369
297,0,295,321,295,370,0,361,370,0,318,288,299,361,0,301,297,311,373,0,0,329
0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,375,0
297,0,305,321,301,371,0,365,379,0,309,302,313,371,0,320,314,313,375,0,0,344
295,0,297,321,294,387,0,368,379,0,318,287,299,378,0,304,299,313,382,0,0,337
318,0,324,354,320,378,0,396,394,0,338,321,323,366,0,328,323,341,397,0,0,360
303,0,298,322,298,370,0,360,369,0,321,294,300,360,0,301,297,313,373,0,0,327
0,349,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,345,0,0
328,0,324,356,323,371,0,391,389,0,343,334,329,362,0,328,326,339,392,0,0,360
316,0,321,345,316,404,0,393,408,0,343,316,329,397,0,339,333,330,405,0,0,375
299,0,302,321,302,362,0,363,372,0,314,299,307,356,0,312,307,311,373,0,0,333
0,338,0,0,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,333,0,0
340,0,361,377,348,378,0,421,407,0,353,350,359,361,0,364,360,368,410,0,0,392
306,0,317,339,305,450,0,391,430,0,320,318,360,470,0,372,366,313,416,0,0,394
320,0,320,351,319,374,0,392,391,0,337,326,324,364,0,326,323,337,393,0,0,358
0,342,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,344,0,0
0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,347,0
317,0,322,348,317,395,0,395,405,0,339,314,328,388,0,335,328,336,406,0,0,368
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,326,361,316,389,0,416,398,0,341,304,313,378,0,317,312,352,401,0,0,376
302,0,299,325,298,396,0,374,382,0,329,289,296,382,0,299,294,319,388,0,0,339
0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,379,0
0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,373,0
296,0,297,322,296,370,0,366,374,0,315,290,301,364,0,305,300,312,376,0,0,332
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,0,287,299,276,457,0,364,407,0,298,286,324,482,0,340,332,284,394,0,0,370
0,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
